站点ID,中心性值,站点名字,X,Y,中心性值归一化
18,8152,车公庙,502232.8914,2492499.819,1.000000
58,7254,华强北,508315.4328,2493377.447,0.889843
125,7034,市民中心,505776.1189,2493025.583,0.862856
33,6654,福田,505028.5312,2492877.463,0.816241
37,6556,岗厦北,506597.2092,2492970.994,0.804220
101,6222,前海湾,489026.4287,2492625.623,0.763248
124,5718,世界之窗,496843.4102,2492582.257,0.701423
47,5298,红岭北,510200.1874,2495340.718,0.649902
62,5142,华新,508387.4924,2493893.783,0.630765
14,5132,布吉,511970.9723,2499733.389,0.629539
120,4752,深圳北,502605.6701,2500719.677,0.582924
5,4724,白石洲,496088.5185,2492889.792,0.579490
137,4676,田贝,512851.7133,2495933.163,0.573602
38,4518,高新园,494755.795,2492964.274,0.554220
130,4502,笋岗,510908.987,2495489.367,0.552257
166,4466,竹子林,500921.1943,2492175.159,0.547841
103,4322,侨城东,499156.0947,2492071.566,0.530177
52,4314,洪湖,512110.6768,2495752.739,0.529195
121,4312,深圳大学,493718.8276,2492736.044,0.528950
61,4212,华侨城,497977.6054,2492198.818,0.516683
135,4164,桃园,491766.8204,2492089.562,0.510795
24,4076,大新,490781.9862,2492076.121,0.500000
76,3996,鲤鱼门,489563.9856,2492066.259,0.490186
111,3986,上梅林,505616.5114,2496166.119,0.488960
95,3978,木棉湾,512883.0971,2500327.227,0.487978
9,3900,宝安中心,487903.8046,2494551.671,0.478410
142,3820,西丽,494739.2972,2497437.508,0.468597
72,3756,景田,503967.2513,2494386.443,0.460746
22,3696,大芬,513695.9414,2501109.208,0.453386
127,3602,水贝,512321.0264,2496683.421,0.441855
2,3478,安托山,500117.7155,2493859.617,0.426644
16,3414,草埔,511436.7611,2497833.523,0.418793
8,3410,宝安,487202.668,2494566.433,0.418302
27,3410,丹竹头,514699.3175,2501729.242,0.418302
66,3326,黄木岗,508430.0213,2494649.621,0.407998
3,3198,八卦岭,509198.5862,2495316.344,0.392296
153,3182,新安,488646.1546,2493795.269,0.390334
12,3120,碧海湾,484715.76,2496814.871,0.382728
83,3120,六约,518062.6107,2503357.936,0.382728
54,3118,后海,493456.7986,2490505.438,0.382483
82,2972,留仙洞,493724.5615,2497413.066,0.364573
68,2826,机场,480375.2429,2502189.758,0.346663
132,2826,塘坑,519303.4096,2503908.764,0.346663
155,2816,兴东,491152.5059,2497546.652,0.345437
163,2734,长岭陂,500545.8201,2499472.268,0.335378
53,2676,洪浪北,490314.2294,2496768.257,0.328263
25,2672,大学城,495961.9891,2497631.102,0.327772
133,2664,塘朗,499489.3914,2498462.892,0.326791
149,2566,香梅北,502920.8741,2494412.416,0.314769
81,2538,灵芝,489682.0979,2496183.978,0.311335
45,2528,横岗,520963.2499,2504929.081,0.310108
69,2528,机场北,478657.3419,2505314.511,0.310108
30,2496,翻身,488527.2798,2495127.187,0.306183
94,2488,民治,503677.6282,2501498.097,0.305201
150,2482,香蜜,501940.6694,2494312.238,0.304465
93,2454,民乐,504466.2427,2498930.77,0.301030
104,2418,侨香,500963.0945,2493982.888,0.296614
4,2382,白石龙,503857.1132,2499707.928,0.292198
141,2294,五和,505720.4049,2502523.947,0.281403
92,2274,梅景,503373.9946,2495097.364,0.278950
23,2246,大剧院,510610.9212,2493088.169,0.275515
35,2226,福永,479553.0089,2507728.438,0.273062
28,2226,登良,493101.5214,2489528.127,0.273062
161,2226,永湖,521897.7904,2506085.324,0.273062
46,2194,红岭,510150.1131,2493907.523,0.269136
164,2174,长龙,511189.2546,2500421.311,0.266683
145,2174,下梅林,503740.8759,2495733.478,0.266683
51,2166,红树湾南,496590.8721,2491058.424,0.265702
91,2156,梅村,504910.6097,2496054.108,0.264475
7,2134,坂田,506753.8294,2502589.972,0.261776
147,2052,下水径,510852.6433,2501193.407,0.251717
157,2008,杨美,507697.8574,2502506.704,0.246320
113,1972,上水径,510308.4197,2501941.921,0.241904
44,1920,荷坳,522542.8906,2507667.377,0.235525
43,1920,海月,493096.4829,2488502.707,0.235525
105,1920,桥头,480055.2663,2509319.189,0.235525
167,1892,I岭,506504.123,2496051.545,0.232090
156,1866,燕南,509033.2575,2493390.682,0.228901
119,1798,深云,498846.8746,2494677.726,0.220559
160,1770,银湖,508685.5168,2495987.702,0.217125
98,1696,泥岗,509536.6307,2495951.749,0.208047
67,1640,会展中心,505753.3621,2492322.681,0.201178
136,1636,桃源村,497622.9982,2495135.785,0.200687
117,1624,深康,499400.0768,2493635.187,0.199215
26,1610,大运,522938.3822,2509072.471,0.197498
134,1610,塘尾,480777.3711,2510882.817,0.197498
11,1610,宝体,487299.1405,2495177.485,0.197498
139,1610,湾厦,493197.6341,2487778.702,0.197498
75,1578,老街,511440.5647,2493366.975,0.193572
39,1550,购物公园,505028.5408,2492312.238,0.190137
86,1532,龙井,496904.6418,2495577.295,0.187929
123,1514,石厦,504989.9098,2491063.626,0.185721
102,1476,侨城北,498401.9145,2493380.029,0.181060
165,1466,珠光,495422.2553,2496059.968,0.179833
138,1418,通新岭,509380.7262,2493904.93,0.173945
17,1408,茶光,494802.3287,2496694.355,0.172718
79,1388,莲花西,504582.0341,2493667.347,0.170265
115,1372,少年宫,505705.4894,2493829.612,0.168302
100,1296,坪洲,486210.9856,2496148.144,0.158979
29,1296,东角头,492411.288,2486987.687,0.158979
90,1296,马鞍山,480672.4841,2512478.592,0.158979
1,1296,爱联,523573.8069,2510378.913,0.158979
49,1296,红山,501896.0004,2501970.534,0.158979
48,1296,红岭南,510248.7565,2492821.986,0.158979
109,1248,沙尾,503853.7372,2490780.132,0.153091
112,1212,上沙,503179.349,2491179.375,0.148675
32,1078,福民,506142.6104,2491041.05,0.132237
77,1042,莲花北,505571.1178,2495176.36,0.127821
97,988,南山,491674.8282,2491165.374,0.121197
144,978,西乡,485373.7254,2496872.755,0.119971
71,978,吉祥,524604.1871,2511717.855,0.119971
128,978,水湾,491249.6563,2487235.341,0.119971
108,978,沙井,481448.4391,2514010.126,0.119971
88,978,鹿丹村,510710.2157,2492375.192,0.119971
114,978,上塘,500796.0085,2503641.2,0.119971
162,882,园岭,510211.8845,2494670.912,0.108194
148,806,香梅,503548.8984,2493509.594,0.098871
57,752,湖贝,512360.1678,2493376.477,0.092247
131,732,太安,513567.0918,2496591.683,0.089794
63,718,皇岗村,505612.2692,2491031.529,0.088077
99,696,农林,501370.1488,2492964.865,0.085378
64,692,皇岗口岸,507146.6666,2490947.224,0.084887
60,690,华强南,508402.9797,2492599.598,0.084642
151,670,香蜜湖,503457.4434,2492774.468,0.082188
110,658,晒布,512099.6786,2493937.922,0.080716
56,656,后亭,481707.5179,2516469.876,0.080471
84,656,龙城广场,525639.7178,2512524.361,0.080471
42,656,海上世界,490769.1927,2486874.376,0.080471
107,656,人民南,511614.0854,2492405.207,0.080471
40,656,固戍,483772.5138,2499662.595,0.080471
87,656,龙胜,500759.566,2504511.075,0.080471
50,618,红树湾,496273.3387,2491276.226,0.075810
65,608,黄贝岭,513557.5491,2493591.957,0.074583
31,584,福邻,507780.0373,2491250.355,0.071639
36,572,岗厦,506469.5169,2492337.691,0.070167
20,538,赤尾,508094.8318,2491993.081,0.065996
21,488,翠竹,512857.8416,2494721.302,0.059863
146,476,下沙,501996.3075,2491708.679,0.058391
74,454,科苑,493999.0669,2491494.131,0.055692
15,442,布心,513669.343,2497447.601,0.054220
59,424,华强路,508234.2096,2492947.86,0.052012
129,330,松岗,481994.581,2518644.16,0.040481
96,330,南联,526794.0007,2513086.261,0.040481
85,330,龙华,501804.3194,2505281.976,0.040481
55,330,后瑞,482580.5486,2502760.002,0.040481
41,330,国贸,511685.0241,2492870.27,0.040481
152,330,向西村,512417.7841,2492886.179,0.040481
116,330,蛇口港,490463.6907,2485927.409,0.040481
73,318,科学馆,509229.1937,2492970.292,0.039009
122,308,深圳湾公园,498733.8254,2490872.898,0.037782
6,294,百鸽笼,512879.9679,2499039.18,0.036065
80,220,临海,488088.9449,2493366.204,0.026987
78,220,莲花村,506466.2285,2493858.917,0.026987
158,176,怡景,513886.9939,2494661.859,0.021590
118,158,深湾,497298.4119,2491069.734,0.019382
10,108,宝华,487674.945,2494016.255,0.013248
89,0,罗湖,511721.9959,2492060.335,0.000000
70,0,机场东,481274.8219,2504789.992,0.000000
159,0,益田,504751.7883,2490283.244,0.000000
126,0,双龙,528005.248,2513842.069,0.000000
140,0,文锦,512949.4286,2493173.067,0.000000
19,0,赤湾,488954.759,2486226.493,0.000000
154,0,新秀,514800.0939,2493758.517,0.000000
34,0,福田口岸,506582.4452,2490231.793,0.000000
143,0,西丽湖,495963.4585,2498869.225,0.000000
13,0,碧头,481003.6283,2519866.8,0.000000
106,0,清湖,503236.3871,2506642.174,0.000000
